,car_name,model_year,manufacturer,fuel_type,transmission,engine_cc,kms_driven,price_pkr
0,A4,2008.0,Audi,Petrol,Automatic,1800.0,100000.0,4700000.0
1,A4,2001.0,Audi,Petrol,Automatic,1800.0,12345.0,1925000.0
2,A4,2008.0,Audi,Petrol,Automatic,1800.0,50000.0,5500000.0
3,A4,2010.0,Audi,Petrol,Automatic,1800.0,43000.0,5250000.0
4,A4,2017.0,Audi,Petrol,Automatic,1400.0,45000.0,13500000.0
5,A4,2017.0,Audi,Petrol,Automatic,1400.0,9500.0,13700000.0
6,A4,2017.0,Audi,Petrol,Automatic,1400.0,49000.0,11200000.0
7,3 Series,1994.0,BMW,Petrol,Automatic,3000.0,100000.0,1450000.0
8,3 Series,1993.0,BMW,Petrol,Automatic,1600.0,1400.0,1850000.0
9,3 Series,2003.0,BMW,Petrol,Automatic,2000.0,170000.0,2000000.0
10,3 Series,1993.0,BMW,Petrol,Automatic,1600.0,100000.0,1520000.0
11,3 Series,1994.0,BMW,Petrol,Manual,2500.0,60000.0,2500000.0
12,3 Series,1999.0,BMW,Petrol,Manual,2000.0,125000.0,1400000.0
13,3 Series,2003.0,BMW,Petrol,Automatic,2000.0,200000.0,2800000.0
14,3 Series,1996.0,BMW,Petrol,Automatic,1800.0,159000.0,1850000.0
15,3 Series,1997.0,BMW,Petrol,Manual,2000.0,150000.0,1450000.0
16,3 Series,2005.0,BMW,Petrol,Automatic,2500.0,135000.0,3700000.0
17,3 Series,1992.0,BMW,Petrol,Automatic,2500.0,92000.0,1550000.0
18,3 Series,2007.0,BMW,Petrol,Automatic,2000.0,101253.0,6350000.0
19,3 Series,2007.0,BMW,Petrol,Automatic,2000.0,59000.0,6500000.0
20,3 Series,2013.0,BMW,Petrol,Automatic,1600.0,35000.0,10000000.0
21,3 Series,2007.0,BMW,Petrol,Automatic,2000.0,81000.0,5129999.0
22,3 Series,2007.0,BMW,Petrol,Automatic,2000.0,61000.0,5900000.0
23,Alsvin,2022.0,Changan,Petrol,Automatic,1500.0,12000.0,4300000.0
24,Alsvin,2022.0,Changan,Petrol,Automatic,1500.0,4939.0,3975000.0
25,Oshan X7,2023.0,Changan,Petrol,Automatic,1500.0,1300.0,9200000.0
26,Karvaan,2020.0,Changan,Petrol,Manual,999.0,88000.0,2200000.0
27,Oshan X7,2023.0,Changan,Petrol,Automatic,1500.0,180.0,9600000.0
28,Alsvin,2021.0,Changan,Petrol,Automatic,1500.0,16222.0,4100000.0
29,Oshan X7,2023.0,Changan,Petrol,Automatic,1499.0,10.0,9500000.0
30,Karvaan,2021.0,Changan,Petrol,Manual,999.0,11301.0,2675000.0
31,Alsvin,2021.0,Changan,Petrol,Automatic,1500.0,52405.0,3500000.0
